title,author,duration,start_date,finish_date,reading_speed,cover_url,percent_complete
Network Effect,Martha Wells,12.78,01/01/2025 - 11:40 AM,01/06/2025 - 01:00 PM,2.0,https://i.imgur.com/jLHSp7k.png,100%
Fugitive Telemetry,Martha Wells,4.40,01/06/2025 - 01:00 PM,01/07/2025 - 05:37 PM,2.0,https://i.imgur.com/IU9OlMa.png,100%
System Collapse,Martha Wells,6.60,01/07/2025 - 11:54 PM,01/10/2025 - 12:47 PM,2.0,https://i.imgur.com/Hb8fCdB.png,100%
Death Troopers,Joe Schreiber,6.68,01/10/2025 - 01:09 PM,01/12/2025 - 10:43 PM,2.0,https://i.imgur.com/5BEVfMj.jpeg,100%
Red Seas Under Red Skies,Scott Lynch,25.48,01/12/2025 - 11:03 PM,01/19/2025 - 01:40 PM,2.0,https://i.imgur.com/faSyQXG.png,100%
Contact,Carl Sagan,14.90,01/19/2025 - 01:49 PM,01/24/2025 - 04:30 PM,1.9,https://i.imgur.com/aXxqBms.jpeg,100%
Cryptonomicon,Neal Stephenson,42.75,01/24/2025 - 09:21 PM,02/12/2025 - 12:27 AM,1.9,https://i.imgur.com/DYTxMz6.png,100%
It's Elemental,Kate Biberdorf,9.18,02/12/2025 - 08:00 AM,02/15/2025 - 10:10 AM,1.8,https://i.imgur.com/FC31Kyc.jpeg,100%
Lessons in Chemistry,Bonnie Garmus,11.93,02/15/2025 - 10:17 AM,02/17/2025 - 03:54 PM,2.0,https://i.imgur.com/j0egYwJ.jpeg,100%
The Left Hand of Darkness,Ursula K. Le Guin,9.93,02/17/2025 - 04:40 PM,02/20/2025 - 12:21 PM,2.0,https://i.imgur.com/wVG3IJq.png,100%
"The Long Way to a Small, Angry Planet",Becky Chambers,14.38,02/20/2025 - 06:28 PM,02/26/2025 - 09:06 AM,2.0,https://i.imgur.com/SjFUGno.jpeg,100%
Wool,Hugh Howey,15.00,02/26/2025 - 09:06 AM,03/03/2025 - 12:26 PM,2.0,https://i.imgur.com/Lw0QOH2.jpeg,100%
Shift,Hugh Howey,14.60,03/03/2025 - 12:28 PM,03/08/2025 - 03:19 PM,2.0,https://i.imgur.com/G7pOtQ8.jpeg,100%
Dark Matter,Blake Crouch,10.13,03/08/2025 - 03:46 PM,03/10/2025 - 11:33 PM,2.0,https://i.imgur.com/Ir6ePza.png,100%
The Will of the Many,James Islington,28.25,03/11/2025 - 12:16 AM,03/19/2025 - 11:39 PM,2.0,https://i.imgur.com/9RKNfdM.png,100%
Sunrise on the Reaping,Suzanne Collins,12.80,03/20/2025 - 12:35 PM,03/22/2025 - 02:39 PM,2.0,https://i.imgur.com/2XvxIhG.png,100%
The Hunger Games,Suzanne Collins,11.18,03/22/2025 - 10:27 PM,03/24/2025 - 11:52 PM,2.0,https://i.imgur.com/eK7jR08.png,100%
When the Moon Hits Your Eye,John Scalzi,10.08,03/25/2025 - 09:37 AM,03/28/2025 - 12:52 AM,2.0,https://i.imgur.com/RzzxHb6.png,100%
Recursion,Blake Crouch,10.78,03/28/2025 - 09:00 AM,03/30/2025 - 01:20 AM,2.0,https://i.imgur.com/FF6ZGz3.jpeg,100%
One Dark Window,Rachel Gillig,12.75,03/30/2025 - 12:11 PM,04/01/2025 - 07:36 PM,2.3,https://i.imgur.com/7VEta8q.jpeg,100%
Spin,Robert Charles Wilson,17.37,04/01/2025 - 11:26 PM,04/08/2025 - 11:06 PM,2.0,https://i.imgur.com/c2TaxuP.png,100%
